id,Age,Gender,Lang,college,presentation,ethnicity,presentation_3_months,highest_education
4,3,1,2,1,2,1,0,3
5,2,2,2,1,1,1,1,2
8,1,2,1,1,3,2,2,1
16,3,1,1,2,2,3,0,2
20,1,1,2,3,1,2,2,1
21,1,1,1,1,2,2,0,1
23,1,1,1,1,2,2,0,1
27,1,1,1,2,2,2,0,2
32,2,2,2,1,2,1,1,2
35,1,2,1,3,4,1,2,1
37,1,1,,4,2,3,1,1
38,1,2,1,1,2,4,0,1
41,2,2,1,1,3,3,2,2
42,1,1,1,3,5,2,1,1
43,,,,,,,,
44,1,1,1,4,2,2,1,1
46,1,2,1,1,2,2,0,1
47,1,2,1,3,2,4,1,1
49,3,1,1,4,4,5,2,3
50,1,2,2,3,2,4,1,1
51,1,2,1,3,1,1,1,1
58,2,1,1,4,2,4,1,1
61,1,2,1,2,2,4,2,1
62,2,2,2,1,2,1,0,2
65,1,1,1,3,5,1,1,1
66,1,1,1,2,5,1,2,1
71,1,2,1,1,2,3,1,1
73,1,2,1,1,1,3,2,1
